Epoch,Training Error,Validation Error
265,40.412044,29.867675
266,40.372425,29.867675
267,39.698891,29.867675
268,40.530903,29.867675
269,40.174326,29.867675
270,40.332805,29.867675
271,40.015848,29.867675
272,39.659271,29.867675
273,38.827258,29.867675
274,38.629160,28.544423
275,37.321712,29.867675
276,37.242472,29.678639
277,36.291601,29.489603
278,35.419968,27.977316
279,34.033281,27.410208
280,33.518225,26.843100
281,32.606973,27.221172
282,32.250396,26.275992
283,30.744849,26.654064
284,31.180666,25.330813
285,29.714739,25.330813
286,29.477021,25.519849
287,28.961965,25.330813
288,28.961965,25.330813
289,28.961965,25.330813
290,28.961965,25.330813
291,28.961965,25.330813
292,28.922345,25.330813
293,29.080824,25.330813
294,29.080824,25.330813
295,29.041204,25.330813
296,29.080824,25.141777
297,29.160063,25.141777
298,29.160063,25.141777
299,29.120444,25.141777
300,29.120444,25.141777
301,29.080824,25.141777
302,29.080824,25.141777
303,29.080824,25.141777
304,29.080824,24.952741
305,29.041204,24.952741
306,29.041204,24.952741
307,28.961965,24.952741
308,28.843106,24.952741
309,28.763867,24.763705
310,28.486529,24.763705
311,28.288431,23.251418
312,27.575277,24.196597
313,28.169572,23.251418
314,27.416799,21.928166
315,25.950872,23.062382
316,26.030111,22.495274
317,25.832013,21.739130
318,24.683043,21.739130
319,24.484945,20.604915
320,22.979398,20.604915
321,22.820919,19.848771
322,21.196513,19.659735
323,20.522979,19.281664
324,19.136292,18.903592
325,18.185420,18.147448
326,17.194929,18.147448
327,16.561014,17.958412
328,16.402536,17.202268
329,15.610143,17.202268
330,15.451664,17.391304
331,15.134707,17.391304
332,14.936609,17.202268
333,14.936609,17.202268
334,14.659271,17.202268
335,14.698891,17.013233
336,14.659271,17.013233
337,14.619651,17.013233
338,14.263074,16.824197
339,14.302694,16.824197
340,14.104596,16.824197
341,13.748019,16.824197
342,13.906498,16.824197
343,13.827258,17.013233
344,13.668780,16.824197
345,13.629160,16.824197
346,13.549921,16.824197
347,13.589540,16.824197
348,13.510301,16.824197
349,13.549921,16.824197
350,13.510301,16.824197
351,13.510301,16.824197
352,13.470681,15.879017
353,13.391442,16.824197
354,13.431062,16.257089
355,13.074485,16.824197
356,13.232964,15.500945
357,13.193344,16.446125
358,13.391442,15.500945
359,12.836767,16.635161
360,13.034865,15.500945
361,12.797147,15.500945
362,12.599049,15.689981
363,12.836767,13.988658
364,12.083994,12.476371
365,11.331220,13.421550
366,10.618067,13.799622
367,10.419968,13.043478
368,10.142631,12.665406
369,10.142631,8.128544
370,7.250396,12.098299
371,8.716323,8.884688
372,6.101426,11.720227
373,6.259905,9.640832
374,6.378764,7.183365
375,4.833597,7.750473
376,4.516640,5.293006
377,4.278922,3.780718
378,3.288431,3.024575
379,3.328051,1.512287
380,1.782884,5.860113
381,2.614897,3.024575
382,1.980983,1.134216
383,1.030111,6.049149
384,1.664025,1.701323
385,1.228209,2.268431
386,1.545166,1.134216
387,0.950872,1.890359
388,1.030111,1.323251
389,0.832013,1.323251
390,0.832013,1.323251
391,0.911252,1.134216
392,0.871632,1.323251
393,0.871632,1.134216
394,0.871632,1.134216
395,0.792393,1.134216
396,0.832013,1.134216
397,0.871632,1.134216
398,0.792393,1.134216
399,0.792393,1.134216
400,0.792393,1.134216
401,0.792393,1.134216
402,0.752773,1.134216
403,0.752773,0.945180
404,0.713154,0.945180
405,0.713154,0.945180
406,0.713154,0.756144
407,0.713154,0.756144
408,0.713154,0.945180
409,0.713154,0.756144
410,0.713154,0.756144
411,0.713154,0.756144
412,0.673534,0.756144
413,0.633914,0.756144
414,0.633914,0.756144
415,0.633914,0.756144
416,0.633914,0.567108
417,0.633914,0.567108
418,0.594295,0.567108
419,0.594295,0.567108
420,0.554675,0.567108
421,0.594295,0.567108
422,0.554675,0.567108
423,0.515055,0.567108
424,0.554675,0.567108
425,0.554675,0.567108
426,0.515055,0.567108
427,0.515055,0.567108
428,0.515055,0.567108
429,0.515055,0.567108
430,0.515055,0.567108
431,0.515055,0.567108
432,0.515055,0.567108
433,0.515055,0.567108
434,0.515055,0.567108
435,0.515055,0.567108
436,0.515055,0.567108
437,0.515055,0.567108
438,0.515055,0.567108
439,0.515055,0.567108
440,0.515055,0.567108
441,0.515055,0.567108
442,0.515055,0.567108
443,0.515055,0.567108
444,0.515055,0.567108
445,0.515055,0.567108
446,0.515055,0.567108
447,0.515055,0.567108
448,0.515055,0.567108
449,0.515055,0.567108
450,0.515055,0.567108
451,0.515055,0.567108
452,0.515055,0.567108
453,0.554675,0.567108
454,0.515055,0.567108
455,0.554675,0.567108
456,0.515055,0.567108
457,0.554675,0.567108
458,0.515055,0.567108
459,0.554675,0.567108
460,0.554675,0.567108
461,0.554675,0.567108
462,0.554675,0.567108
463,0.554675,0.567108
464,0.554675,0.567108
465,0.554675,0.567108
466,0.515055,0.567108
467,0.554675,0.567108
468,0.554675,0.567108
469,0.554675,0.567108
470,0.554675,0.567108
471,0.554675,0.567108
472,0.554675,0.567108
473,0.554675,0.567108
474,0.554675,0.567108
475,0.554675,0.567108
476,0.554675,0.567108
477,0.554675,0.567108
478,0.515055,0.567108
479,0.554675,0.567108
480,0.515055,0.567108
481,0.554675,0.567108
482,0.515055,0.567108
483,0.515055,0.567108
484,0.554675,0.567108
485,0.554675,0.567108
486,0.515055,0.567108
487,0.515055,0.567108
488,0.554675,0.567108
489,0.554675,0.567108
490,0.515055,0.567108
491,0.515055,0.567108
492,0.554675,0.567108
493,0.515055,0.567108
494,0.515055,0.567108
495,0.515055,0.567108
496,0.515055,0.567108
497,0.515055,0.567108
498,0.515055,0.567108
499,0.515055,0.567108
500,0.515055,0.567108
501,0.515055,0.567108
502,0.515055,0.567108
503,0.515055,0.567108
504,0.515055,0.567108
505,0.515055,0.567108
506,0.515055,0.567108
507,0.515055,0.567108
508,0.515055,0.567108
509,0.515055,0.567108
510,0.515055,0.567108
511,0.515055,0.567108
512,0.515055,0.567108
513,0.515055,0.567108
514,0.515055,0.567108
515,0.515055,0.567108
516,0.554675,0.567108
517,0.515055,0.567108
518,0.515055,0.567108
519,0.515055,0.567108
520,0.515055,0.567108
521,0.515055,0.567108
522,0.515055,0.567108
523,0.515055,0.567108
524,0.515055,0.567108
525,0.515055,0.567108
526,0.515055,0.567108
527,0.515055,0.567108
528,0.554675,0.567108
529,0.515055,0.567108
530,0.515055,0.567108
531,0.515055,0.567108
532,0.515055,0.567108
533,0.515055,0.567108
534,0.515055,0.567108
535,0.515055,0.567108
536,0.515055,0.567108
537,0.515055,0.567108
538,0.515055,0.567108
539,0.515055,0.567108
540,0.515055,0.567108
541,0.515055,0.567108
542,0.515055,0.567108
543,0.515055,0.567108
544,0.515055,0.567108
545,0.515055,0.567108
546,0.515055,0.567108
547,0.515055,0.567108
548,0.515055,0.567108
549,0.515055,0.567108
550,0.515055,0.567108
551,0.515055,0.567108
552,0.515055,0.567108
553,0.515055,0.567108
554,0.515055,0.567108
555,0.515055,0.567108
556,0.515055,0.567108
557,0.515055,0.567108
558,0.515055,0.567108
559,0.515055,0.567108
560,0.515055,0.567108
561,0.515055,0.567108
562,0.515055,0.567108
563,0.515055,0.567108
564,0.515055,0.567108
565,0.515055,0.567108
566,0.515055,0.567108
567,0.515055,0.567108
568,0.515055,0.567108
569,0.515055,0.567108
570,0.515055,0.567108
571,0.515055,0.567108
572,0.515055,0.567108
573,0.475436,0.567108
574,0.435816,0.567108
575,0.475436,0.567108
576,0.435816,0.567108
577,0.435816,0.567108
578,0.435816,0.567108
579,0.435816,0.567108
580,0.435816,0.567108
581,0.396197,0.567108
582,0.396197,0.567108
583,0.396197,0.567108
584,0.396197,0.567108
585,0.396197,0.567108
586,0.396197,0.567108
587,0.396197,0.567108
588,0.396197,0.567108
589,0.396197,0.567108
590,0.396197,0.567108
591,0.396197,0.567108
592,0.396197,0.567108
593,0.396197,0.567108
594,0.396197,0.567108
595,0.396197,0.567108
596,0.396197,0.567108
597,0.396197,0.567108
598,0.396197,0.567108
599,0.396197,0.567108
600,0.396197,0.567108
601,0.396197,0.567108
602,0.396197,0.567108
603,0.396197,0.567108
604,0.396197,0.567108
605,0.356577,0.567108
606,0.316957,0.567108
607,0.356577,0.567108
608,0.316957,0.567108
609,0.356577,0.567108
610,0.316957,0.567108
611,0.316957,0.567108
612,0.316957,0.567108
613,0.316957,0.567108
614,0.316957,0.567108
615,0.316957,0.567108
616,0.316957,0.567108
617,0.316957,0.567108
618,0.316957,0.567108
619,0.316957,0.567108
620,0.316957,0.567108
621,0.316957,0.567108
622,0.316957,0.567108
623,0.316957,0.567108
624,0.316957,0.567108
625,0.316957,0.567108
626,0.316957,0.567108
627,0.316957,0.567108
628,0.316957,0.567108
629,0.316957,0.567108
630,0.316957,0.567108
631,0.316957,0.567108
632,0.316957,0.567108
633,0.316957,0.567108
634,0.316957,0.567108
635,0.316957,0.567108
636,0.316957,0.567108
637,0.316957,0.567108
638,0.316957,0.567108
639,0.316957,0.567108
640,0.316957,0.567108
641,0.316957,0.567108
642,0.316957,0.567108
643,0.316957,0.567108
644,0.316957,0.567108
645,0.316957,0.567108
646,0.316957,0.567108
647,0.316957,0.567108
648,0.316957,0.567108
649,0.316957,0.567108
650,0.316957,0.567108
651,0.316957,0.567108
652,0.316957,0.567108
653,0.316957,0.567108
654,0.316957,0.567108
655,0.316957,0.567108
656,0.316957,0.567108
657,0.316957,0.567108
658,0.316957,0.567108
659,0.316957,0.567108
660,0.316957,0.567108
661,0.316957,0.567108
662,0.316957,0.567108
663,0.316957,0.567108
664,0.316957,0.567108
665,0.316957,0.567108
666,0.316957,0.567108
667,0.316957,0.567108
668,0.316957,0.567108
669,0.316957,0.567108
670,0.316957,0.567108
671,0.316957,0.567108
672,0.316957,0.567108
673,0.316957,0.567108
674,0.316957,0.567108
675,0.316957,0.567108
676,0.316957,0.567108
677,0.316957,0.567108
678,0.316957,0.567108
679,0.316957,0.567108
680,0.316957,0.567108
681,0.316957,0.567108
682,0.316957,0.567108
683,0.316957,0.567108
684,0.316957,0.567108
685,0.316957,0.567108
686,0.316957,0.567108
687,0.316957,0.567108
688,0.316957,0.567108
689,0.316957,0.567108
690,0.316957,0.567108
691,0.316957,0.567108
692,0.316957,0.567108
693,0.316957,0.567108
694,0.316957,0.567108
695,0.316957,0.567108
696,0.316957,0.567108
697,0.316957,0.567108
698,0.316957,0.567108
699,0.316957,0.567108
700,0.316957,0.567108
701,0.316957,0.567108
702,0.316957,0.567108
703,0.316957,0.567108
704,0.316957,0.567108
705,0.316957,0.567108
706,0.316957,0.567108
707,0.316957,0.567108
708,0.316957,0.567108
709,0.316957,0.567108
710,0.316957,0.567108
711,0.316957,0.567108
712,0.316957,0.567108
713,0.316957,0.567108
714,0.316957,0.567108
715,0.316957,0.567108
